"run","all_cause_isolation","susceptibility","handHygieneIntervention","importationSurge","decayRate","ppeIsolationAdherenceProb","timeBetweenContamPulse","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","patientContamPerPulse","treatmentDuration","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","nearZoneContamPerPulse","ppeEfficacy","transferFractionRandom","isolateOnSuspicion","extra_samples","randomSeed","postVisitCleaning","farContamPerPulse","surveillanceSpecificity","decayRandom"
1,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,539795271,0,0,0.7,0
11,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540009772,0,250,0.7,0
21,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540343656,0,500,0.7,0
31,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540687614,0,750,0.7,0
41,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541019650,0,1000,0.7,0
51,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541357021,0,1250,0.7,0
61,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541688537,0,1500,0.7,0
71,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542021415,0,1750,0.7,0
81,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542355821,0,2000,0.7,0
91,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542680683,0,2250,0.7,0
101,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543005758,0,2500,0.7,0
111,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543321735,0,2750,0.7,0
121,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543643444,0,3000,0.7,0
131,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543972009,0,3250,0.7,0
141,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,544296368,0,3500,0.7,0
151,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,544626413,0,3750,0.7,0
161,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,544968196,0,4000,0.7,0
171,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,545314073,0,4250,0.7,0
181,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,545662168,0,4500,0.7,0
191,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,546027249,0,4750,0.7,0
201,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,546361381,0,5000,0.7,0
