"run","susceptibility","hh","infRate","detections3Days","importationCount","meanLos","patientDays","patientDaysAtRisk","patientsIsolated","totalAcquisitions","admissionCount","acquirersWhoProgress","totalProgressions","grossInfRate","acquisitionRate","overallHHAdherence","nurseHHAdherence","cnaHHAdherence","doctorHHAdherence","ptHHAdherence","rtHHAdherence","ppeEfficacy","ppeAdherence","scenario","universalPpe","all_cause_isolation","surveillanceSensitivity","surveillanceSpecificity","isSurveillance"
1,0.025,0.0,180.84176426591623,161.0,0.0,8.828066391212436,15016.540931452353,8902.810733656625,814.0,1235.0,1720.0,160.0,161.0,107.21510415410201,822.4264200640744,0.4089632289869826,0.4159521291569345,0.4287724615717688,0.28396619519924876,0.4110600671803991,0.4438933359524628,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
11,0.025,0.0,190.82419784634234,170.0,0.0,8.481060572197261,15316.795393388255,8908.723417608146,916.0,1317.0,1825.0,169.0,170.0,110.98927395307722,859.8404340953099,0.4079571198079935,0.4140127145338959,0.4285372485046221,0.28167934430096114,0.41882741129250695,0.4399657785382547,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
21,0.025,0.0,220.09615975749804,196.0,0.0,8.523010796904984,15537.448682757786,8905.198537582519,894.0,1393.0,1842.0,194.0,196.0,126.14683658939776,896.5435886175055,0.40643038286114425,0.41367215707850485,0.427815751665288,0.27955542556303015,0.41121981424148607,0.4377223320158103,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
31,0.025,0.0,194.11086659183854,171.0,0.0,8.358737232022476,15329.92408352922,8809.398618551619,834.0,1311.0,1850.0,167.0,172.0,112.19885960479104,855.1901450109364,0.40843993752388863,0.4152272544845063,0.43035633642287263,0.28003029243854133,0.41447613374041253,0.44178690479087085,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
41,0.025,0.0,210.91049561007435,181.0,0.0,8.493289106330682,15033.121718205306,8581.839394784218,868.0,1299.0,1786.0,180.0,181.0,120.4008078912889,864.0919859159353,0.4078753645346697,0.4147782950702158,0.42742852240310575,0.28522154417617407,0.41045725546935413,0.4404895685738017,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
51,0.025,0.0,210.1397792511457,188.0,0.0,8.435644980290146,15757.784823181992,8946.426072681572,951.0,1404.0,1882.0,186.0,189.0,119.94071636385942,890.9881787029557,0.4062080282995668,0.4127458844199992,0.4309485284471072,0.2812803103782735,0.41011304838274604,0.4369791409832832,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
61,0.025,0.0,205.17319532199352,181.0,0.0,8.525946830289,15261.44482621731,8821.815136033889,856.0,1340.0,1807.0,177.0,181.0,118.59951797556151,878.0295805925548,0.4075773425932704,0.41255850591942245,0.43063684050808515,0.2832494820952945,0.41559014585120724,0.44413462004752435,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
71,0.025,0.0,217.44706561836838,186.0,0.0,8.5983807656958,15038.567959201957,8553.805933000736,825.0,1366.0,1769.0,185.0,186.0,123.68198920575304,908.3311680379497,0.40910013356175695,0.4154800437668462,0.4267000747285595,0.2868333574215927,0.41724987678659436,0.44402235184549776,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
81,0.025,0.0,216.41258721412154,190.0,0.0,8.680457085048516,15381.769954705971,8779.52629492902,868.0,1345.0,1791.0,192.0,192.0,124.82308639732231,874.411725022909,0.40763424013673266,0.41306586528338723,0.4302556601095998,0.28344975819451906,0.41250989707046715,0.445025788534021,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
91,0.025,0.0,197.7868123567383,171.0,0.0,8.578684372742543,15184.271339754301,8645.672477474169,852.0,1348.0,1790.0,171.0,172.0,113.27510958638017,887.7607425723282,0.4085962758774015,0.4146075497975956,0.4289227956380733,0.2831638616175783,0.41967955501956633,0.4414955110072562,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
101,0.025,0.0,219.61739755932317,195.0,0.0,8.559157548066189,15389.365271423007,8879.077985947197,876.0,1327.0,1817.0,194.0,195.0,126.71087894840055,862.2837762283464,0.40776510210374023,0.41441990878719187,0.4294563870715326,0.28277897936517216,0.41387930603469825,0.43967762543613936,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
111,0.025,0.0,224.49724137680522,195.0,0.0,8.361352537917735,15234.384324086115,8686.075552826243,828.0,1363.0,1839.0,192.0,195.0,127.99992165859825,894.6866319008687,0.4077377368158816,0.41485458783964535,0.4282542446669569,0.27789461385675895,0.41398216287343437,0.441833542698096,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
121,0.025,0.0,232.11810096259825,192.0,0.0,8.342363187885898,14665.87448430341,8271.651336271161,846.0,1284.0,1777.0,189.0,193.0,131.5980170200993,875.501833439417,0.40724858634394084,0.413488384494376,0.4267977577297013,0.2814853893724904,0.4170731707317073,0.4406027934329821,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
131,0.025,0.0,203.09743753086252,178.0,0.0,8.38374861714884,15426.097455553865,8764.266165246485,912.0,1405.0,1860.0,178.0,179.0,116.03712508347634,910.7941940909735,0.40646738242253283,0.4118952507767421,0.4314964443759495,0.28316067438553727,0.4138375058811876,0.4408591556234297,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
141,0.025,0.0,211.22749721616836,188.0,0.0,8.500010529937581,15495.519196076211,8900.356368262152,835.0,1359.0,1839.0,186.0,190.0,122.61609152671177,877.0277283410595,0.4096278753155402,0.41553937799665064,0.43233895373973197,0.28402975857911605,0.4155245543923309,0.44504544556411774,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
151,0.025,0.0,234.95882499376927,202.0,0.0,8.534787147633192,15413.825588625547,8597.251029211468,908.0,1428.0,1818.0,201.0,203.0,131.69994615081248,926.4410005091637,0.40859867044021,0.4146770947676546,0.4284339668029829,0.2839691953616004,0.4134131913635019,0.4460726558664703,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
161,0.025,0.0,245.87920743099514,211.0,0.0,8.537582689269524,15248.12268303537,8581.449493211669,851.0,1356.0,1806.0,208.0,211.0,138.37769041217948,889.2898018905942,0.4081125847374527,0.41517427746988506,0.42724397426109717,0.2803182086034178,0.4130551096843232,0.44300595238095236,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
171,0.025,0.0,219.73806576732503,193.0,0.0,8.645044291279882,15448.694148517148,8783.184621473947,885.0,1408.0,1804.0,194.0,194.0,125.57695694857239,911.4038937298449,0.40767325852814673,0.41448995112182857,0.43303022315937445,0.28158876843788877,0.40927707870713054,0.4386328838840322,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
181,0.025,0.0,225.69216214327454,196.0,0.0,8.235242639345422,15506.961889887429,8684.395511952902,925.0,1444.0,1902.0,194.0,196.0,126.39484213075785,931.1946532490527,0.4083067574606901,0.41431600664794543,0.4291217760365655,0.28272679478941526,0.41759976682616406,0.4420180722891566,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
191,0.025,0.0,219.807849860995,190.0,0.0,8.388339203204223,15333.88406345732,8643.91331429495,862.0,1349.0,1840.0,190.0,191.0,124.56074352040937,879.7510105184934,0.40965994682684725,0.4151522985446859,0.4329811205180372,0.2820535714285714,0.41502741051273784,0.4478488571288728,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
201,0.025,0.0,227.2753055345884,198.0,0.0,8.616009029436919,15293.41602725053,8711.901169124902,848.0,1369.0,1792.0,197.0,198.0,129.4674778003778,895.1564500440262,0.4091536132807902,0.414957158941282,0.43214480427434304,0.2860165806713433,0.4166281530490623,0.44221227157206827,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
211,0.025,0.0,226.28514726248258,200.0,0.0,8.520048631655904,15429.808071928841,8838.405985524416,908.0,1396.0,1830.0,199.0,200.0,129.6192402832646,904.7422971771869,0.40740347624674794,0.41341841357831977,0.42939908087034173,0.2831651991369759,0.4114232301864515,0.444688952625853,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
221,0.025,0.0,166.4637266574828,151.0,0.0,8.469125823334013,15532.376759994579,9071.045268060045,882.0,1349.0,1852.0,150.0,151.0,97.21628720011341,868.5084200857814,0.4072646051193177,0.4134696249178122,0.422823059886411,0.2816325329566855,0.41360962632105636,0.4477875250731047,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
231,0.025,0.0,218.98408401522326,194.0,0.0,8.300819222778347,15688.548331051075,8859.091329510211,928.0,1449.0,1907.0,192.0,194.0,123.65707515209134,923.6036180174245,0.40754490338324173,0.4147103536260227,0.42610810455511494,0.2771576609918579,0.41790427034133515,0.43844790230451053,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
241,0.025,0.0,255.03930917611206,216.0,0.0,8.65051103344614,14999.986131995605,8469.282664612525,854.0,1356.0,1753.0,216.0,216.0,144.0001331329653,904.0008357791709,0.40828581841266853,0.4156641594498797,0.4256805747808319,0.28060956384655805,0.4113301697568612,0.4450546780072904,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
251,0.025,0.0,217.0899663569968,188.0,0.0,8.53849619101199,15292.446678102475,8660.00410589408,851.0,1406.0,1808.0,188.0,188.0,122.93650843275493,919.4081428534757,0.40816495215424,0.4148526357903561,0.4315752889043357,0.276694166175604,0.41664611590628853,0.43992291157067676,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
261,0.025,0.0,215.79946919808447,186.0,0.0,8.6846526023835,14937.602476099619,8619.112952000301,828.0,1359.0,1737.0,183.0,186.0,124.51797421815363,909.7845535616708,0.40614028887161,0.4134907174311508,0.42508741068907857,0.27828187603111004,0.4124249479230486,0.43758610509742174,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
271,0.025,0.0,210.50721698692496,187.0,0.0,8.534605938385365,15362.290689093656,8883.305887399336,840.0,1381.0,1820.0,186.0,187.0,121.72663815869548,898.9544775249116,0.4090132361549064,0.4154315905036366,0.43279365424318156,0.28000345363495077,0.4186075726740534,0.44143746629406283,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
281,0.025,0.0,234.8203052092161,200.0,0.0,8.431067834578338,15260.23278058679,8517.151011357706,851.0,1434.0,1829.0,198.0,200.0,131.0595997293231,939.6973300592466,0.40855482608644406,0.4149878545906597,0.4317535337621986,0.2824618609526028,0.4122561305223844,0.44332573147653936,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
291,0.025,0.0,214.67447383633336,195.0,0.0,8.505294025015719,16006.96335507958,9083.520574908543,911.0,1469.0,1899.0,194.0,195.0,121.82198189272393,917.7255969251869,0.40710302388171243,0.4136190472551365,0.42801362285515954,0.28394842678022236,0.41280304152471237,0.43816636368102985,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
301,0.025,0.0,210.57036019611246,187.0,0.0,8.77618803123764,15244.23861025978,8880.64207259937,811.0,1334.0,1756.0,186.0,187.0,122.66929479452257,875.0847019031718,0.40701927317060516,0.4142507192515205,0.42866134213039325,0.2812062937062937,0.4129804384154134,0.43594571463504095,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
311,0.025,0.0,244.25279714346888,209.0,0.0,8.626481567414261,15286.12533745807,8556.708559502713,815.0,1428.0,1792.0,208.0,209.0,136.72529525049322,934.1804862091116,0.40968210310105885,0.4168034244924659,0.4298530750227539,0.28456254729611735,0.41509940236614223,0.44127413602262944,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
321,0.025,0.0,212.6454657886795,185.0,0.0,8.572095826998803,15249.75847623087,8699.926862482329,861.0,1406.0,1799.0,184.0,185.0,121.31339672582446,921.9818151162659,0.4087706943211179,0.41436504122712675,0.430619117520076,0.2808013650270652,0.4174649417341497,0.44532697908392904,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
331,0.025,0.0,240.88621286850048,198.0,0.0,8.854628939950157,14778.37570077681,8219.648507160016,815.0,1335.0,1685.0,195.0,198.0,133.97954146584075,903.3469083681687,0.40889288088603476,0.41611321646701793,0.4307178995115143,0.2765725402346283,0.41478935049736687,0.44181065952786563,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
341,0.025,0.0,212.20579121627787,181.0,0.0,8.443755403833766,15198.75972690078,8529.456192622318,867.0,1386.0,1820.0,178.0,181.0,119.08866463599803,911.9165148369793,0.4093066844995338,0.4147175598017111,0.4323882581123194,0.2827214452214452,0.41883792351892213,0.4455925406549069,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
351,0.025,0.0,226.74126420600507,196.0,0.0,8.561385985174713,15068.039333907496,8644.21395401257,813.0,1393.0,1778.0,195.0,197.0,130.74030113306935,924.4732968444955,0.40923325993736565,0.41537416679067035,0.43116934335356366,0.2840537916016832,0.41373982144609045,0.4446222480845699,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
361,0.025,0.0,232.29580303810485,201.0,0.0,8.285098576864906,15600.840620236619,8652.760720219676,892.0,1499.0,1899.0,202.0,202.0,129.4802023283129,960.8456598521834,0.40877574668337785,0.41480428294255994,0.43068263316888705,0.28359228781081963,0.41504308961157615,0.44273466151253843,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
371,0.025,0.0,214.7571149909403,185.0,0.0,8.380736262048085,15093.706007948602,8614.382811382262,898.0,1364.0,1821.0,184.0,185.0,122.56764501877528,903.6879340843756,0.4075697541012691,0.4138478003287085,0.4292730419731718,0.2821102286976772,0.41135618917200567,0.44218090228905843,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
